NUM_STATES 	 HMM_IDX 	 ACC
20  	  2  	  68.85
20  	  3  	  75.41
20  	  4  	  75.41
20  	  5  	  72.13
20  	  6  	  54.10
20  	  7  	  54.10
20  	  8  	  44.26
20  	  9  	  60.66
20  	  10  	  62.30
20  	  11  	  80.33
20  	  12  	  81.97
20  	  13  	  81.97
20  	  14  	  88.52
20  	  15  	  93.44
25  	  2  	  70.49
25  	  3  	  80.33
25  	  4  	  81.97
25  	  5  	  68.85
25  	  6  	  55.74
25  	  7  	  54.10
25  	  8  	  44.26
25  	  9  	  75.41
25  	  10  	  77.05
25  	  11  	  81.97
25  	  12  	  80.33
25  	  13  	  80.33
25  	  14  	  85.25
25  	  15  	  90.16
30  	  2  	  70.49
30  	  3  	  81.97
30  	  4  	  81.97
30  	  5  	  90.16
30  	  6  	  55.74
30  	  7  	  55.74
30  	  8  	  45.90
30  	  9  	  75.41
30  	  10  	  72.13
30  	  11  	  80.33
30  	  12  	  80.33
30  	  13  	  80.33
30  	  14  	  86.89
30  	  15  	  90.16
35  	  2  	  70.49
35  	  3  	  81.97
35  	  4  	  81.97
35  	  5  	  83.61
35  	  6  	  60.66
35  	  7  	  59.02
35  	  8  	  45.90
35  	  9  	  72.13
35  	  10  	  73.77
35  	  11  	  83.61
35  	  12  	  81.97
35  	  13  	  80.33
35  	  14  	  88.52
35  	  15  	  88.52
40  	  2  	  70.49
40  	  3  	  78.69
40  	  4  	  78.69
40  	  5  	  91.80
40  	  6  	  68.85
40  	  7  	  68.85
40  	  8  	  47.54
40  	  9  	  70.49
40  	  10  	  72.13
40  	  11  	  81.97
40  	  12  	  85.25
40  	  13  	  85.25
40  	  14  	  90.16
40  	  15  	  90.16
45  	  2  	  70.49
45  	  3  	  67.21
45  	  4  	  67.21
45  	  5  	  85.25
45  	  6  	  52.46
45  	  7  	  50.82
45  	  8  	  50.82
45  	  9  	  78.69
45  	  10  	  80.33
45  	  11  	  81.97
45  	  12  	  80.33
45  	  13  	  80.33
45  	  14  	  83.61
45  	  15  	  85.25
50  	  2  	  70.49
50  	  3  	  68.85
50  	  4  	  68.85
50  	  5  	  55.74
50  	  6  	  54.10
50  	  7  	  54.10
50  	  8  	  59.02
50  	  9  	  80.33
50  	  10  	  80.33
50  	  11  	  81.97
50  	  12  	  85.25
50  	  13  	  83.61
50  	  14  	  90.16
50  	  15  	  88.52
55  	  2  	  67.21
55  	  3  	  65.57
55  	  4  	  65.57
55  	  5  	  72.13
55  	  6  	  52.46
55  	  7  	  52.46
55  	  8  	  52.46
55  	  9  	  73.77
55  	  10  	  73.77
55  	  11  	  86.89
55  	  12  	  86.89
55  	  13  	  86.89
55  	  14  	  85.25
55  	  15  	  91.80
60  	  2  	  68.85
60  	  3  	  68.85
60  	  4  	  68.85
60  	  5  	  81.97
60  	  6  	  62.30
60  	  7  	  59.02
60  	  8  	  57.38
60  	  9  	  57.38
60  	  10  	  57.38
60  	  11  	  85.25
60  	  12  	  93.44
60  	  13  	  90.16
60  	  14  	  91.80
60  	  15  	  96.72
